person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype,school_zone_id,workplace_zone_id,free_parking_at_work,cdap_activity,mandatory_tour_frequency,_escort,_shopping,_othmaint,_othdiscr,_eatout,_social,non_mandatory_tour_frequency
10896,8521,30,1,1,1,3,1,-1.0,16608.0,0,N,,0,0,0,0,1,0,4
10185,8520,30,1,1,1,3,1,-1.0,26814.0,0,M,work1,0,0,0,0,0,0,0
10258,8519,40,1,1,1,3,1,-1.0,34886.0,0,M,work1,0,0,0,0,0,0,0
10259,8519,30,2,2,3,3,4,-1.0,-1.0,0,N,,0,0,0,0,0,0,0
10260,8519,2,3,2,3,3,8,-1.0,-1.0,0,N,,0,1,0,0,0,0,16
12058,8518,30,1,1,1,2,2,23087.0,34223.0,0,M,work1,1,0,0,0,0,0,32
12059,8518,30,2,2,3,2,4,23087.0,-1.0,0,N,,1,1,0,0,0,0,48
12060,8518,8,3,2,3,1,7,12733.0,-1.0,0,H,,0,0,0,0,0,0,0
12061,8518,2,4,1,3,1,8,12733.0,-1.0,0,N,,1,0,0,0,0,0,32
11055,8517,70,1,1,3,3,5,-1.0,-1.0,0,N,,0,1,0,0,0,0,16
11137,8516,60,1,2,3,3,4,-1.0,-1.0,0,N,,0,0,0,1,0,1,3
11138,8516,70,2,1,3,3,5,-1.0,-1.0,0,N,,0,0,1,0,0,1,10
13043,8515,40,1,2,1,3,1,-1.0,2731.0,0,H,,0,0,0,0,0,0,0
14541,8514,70,1,1,3,3,5,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
14542,8514,70,2,2,3,3,5,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
14250,8513,50,1,1,1,3,1,-1.0,33879.0,0,H,,0,0,0,0,0,0,0
12567,8512,40,1,2,1,3,1,-1.0,3634.0,0,H,,0,0,0,0,0,0,0
12568,8512,40,2,1,2,3,2,-1.0,3634.0,0,H,,0,0,0,0,0,0,0
14122,8511,50,1,1,1,3,1,-1.0,23191.0,0,M,work2,0,1,0,0,1,0,20
14123,8511,50,2,2,1,3,1,-1.0,23191.0,0,M,work1,0,1,0,0,2,0,20
13157,8510,40,1,1,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
13231,8509,40,1,2,1,3,1,-1.0,2418.0,0,M,work1,0,0,0,0,0,0,0
13413,8508,30,1,1,1,3,1,-1.0,30977.0,0,M,work1,0,0,0,0,0,0,0
10366,8507,30,1,1,1,3,1,-1.0,12598.0,0,H,,0,0,0,0,0,0,0
